station,city,timezone,local_date,prediction_date,prediction_snapshot_time_local,prediction_hour_local,prediction_day_of_year,target_day_of_year,current_temp,today_high_so_far,threshold,threshold_minus_current_temp,threshold_minus_today_high_so_far,temp_change_1h,temp_change_3h,dewpoint,wind_speed,wind_dir_sin,wind_dir_cos,cloud_cover_code,prior_day_high,prior_3day_high_mean,prior_7day_high_mean,prior_day_high_minus_threshold,prior_7day_high_mean_minus_threshold,target_final_high_tmpf,target
KATL,Atlanta,America/New_York,2022-01-02,2022-01-01,2022-01-01 19:52:00+00:00,14,1,2,78.0,78.0,69.0,-9.0,-9.0,,,65.0,13.0,-0.3420201433256686,-0.9396926207859084,2,,,,,,73.0,1
KATL,Atlanta,America/New_York,2022-01-02,2022-01-01,2022-01-01 19:52:00+00:00,14,1,2,78.0,78.0,70.0,-8.0,-8.0,,,65.0,13.0,-0.3420201433256686,-0.9396926207859084,2,,,,,,73.0,1
KATL,Atlanta,America/New_York,2022-01-02,2022-01-01,2022-01-01 19:52:00+00:00,14,1,2,78.0,78.0,71.0,-7.0,-7.0,,,65.0,13.0,-0.3420201433256686,-0.9396926207859084,2,,,,,,73.0,1
KATL,Atlanta,America/New_York,2022-01-02,2022-01-01,2022-01-01 19:52:00+00:00,14,1,2,78.0,78.0,72.0,-6.0,-6.0,,,65.0,13.0,-0.3420201433256686,-0.9396926207859084,2,,,,,,73.0,1
KATL,Atlanta,America/New_York,2022-01-02,2022-01-01,2022-01-01 19:52:00+00:00,14,1,2,78.0,78.0,73.0,-5.0,-5.0,,,65.0,13.0,-0.3420201433256686,-0.9396926207859084,2,,,,,,73.0,1
KATL,Atlanta,America/New_York,2022-01-02,2022-01-01,2022-01-01 19:52:00+00:00,14,1,2,78.0,78.0,74.0,-4.0,-4.0,,,65.0,13.0,-0.3420201433256686,-0.9396926207859084,2,,,,,,73.0,0
KATL,Atlanta,America/New_York,2022-01-02,2022-01-01,2022-01-01 19:52:00+00:00,14,1,2,78.0,78.0,75.0,-3.0,-3.0,,,65.0,13.0,-0.3420201433256686,-0.9396926207859084,2,,,,,,73.0,0
KATL,Atlanta,America/New_York,2022-01-02,2022-01-01,2022-01-01 19:52:00+00:00,14,1,2,78.0,78.0,76.0,-2.0,-2.0,,,65.0,13.0,-0.3420201433256686,-0.9396926207859084,2,,,,,,73.0,0
KATL,Atlanta,America/New_York,2022-01-02,2022-01-01,2022-01-01 19:52:00+00:00,14,1,2,78.0,78.0,77.0,-1.0,-1.0,,,65.0,13.0,-0.3420201433256686,-0.9396926207859084,2,,,,,,73.0,0
KATL,Atlanta,America/New_York,2022-01-03,2022-01-02,2022-01-02 19:57:00+00:00,14,2,3,57.0,73.0,45.0,-12.0,-28.0,,,55.0,0.0,0.0,1.0,3,78.0,78.0,78.0,33.0,33.0,49.0,1
KATL,Atlanta,America/New_York,2022-01-03,2022-01-02,2022-01-02 19:57:00+00:00,14,2,3,57.0,73.0,46.0,-11.0,-27.0,,,55.0,0.0,0.0,1.0,3,78.0,78.0,78.0,32.0,32.0,49.0,1
KATL,Atlanta,America/New_York,2022-01-03,2022-01-02,2022-01-02 19:57:00+00:00,14,2,3,57.0,73.0,47.0,-10.0,-26.0,,,55.0,0.0,0.0,1.0,3,78.0,78.0,78.0,31.0,31.0,49.0,1
KATL,Atlanta,America/New_York,2022-01-03,2022-01-02,2022-01-02 19:57:00+00:00,14,2,3,57.0,73.0,48.0,-9.0,-25.0,,,55.0,0.0,0.0,1.0,3,78.0,78.0,78.0,30.0,30.0,49.0,1
KATL,Atlanta,America/New_York,2022-01-03,2022-01-02,2022-01-02 19:57:00+00:00,14,2,3,57.0,73.0,49.0,-8.0,-24.0,,,55.0,0.0,0.0,1.0,3,78.0,78.0,78.0,29.0,29.0,49.0,1
KATL,Atlanta,America/New_York,2022-01-03,2022-01-02,2022-01-02 19:57:00+00:00,14,2,3,57.0,73.0,50.0,-7.0,-23.0,,,55.0,0.0,0.0,1.0,3,78.0,78.0,78.0,28.0,28.0,49.0,0
KATL,Atlanta,America/New_York,2022-01-03,2022-01-02,2022-01-02 19:57:00+00:00,14,2,3,57.0,73.0,51.0,-6.0,-22.0,,,55.0,0.0,0.0,1.0,3,78.0,78.0,78.0,27.0,27.0,49.0,0
KATL,Atlanta,America/New_York,2022-01-03,2022-01-02,2022-01-02 19:57:00+00:00,14,2,3,57.0,73.0,52.0,-5.0,-21.0,,,55.0,0.0,0.0,1.0,3,78.0,78.0,78.0,26.0,26.0,49.0,0
KATL,Atlanta,America/New_York,2022-01-03,2022-01-02,2022-01-02 19:57:00+00:00,14,2,3,57.0,73.0,53.0,-4.0,-20.0,,,55.0,0.0,0.0,1.0,3,78.0,78.0,78.0,25.0,25.0,49.0,0
KATL,Atlanta,America/New_York,2022-01-04,2022-01-03,2022-01-03 19:52:00+00:00,14,3,4,42.0,49.0,47.0,5.0,-2.0,,,28.9,11.0,-0.5000000000000004,0.8660254037844384,1,73.0,75.5,75.5,26.0,28.5,51.0,1
KATL,Atlanta,America/New_York,2022-01-04,2022-01-03,2022-01-03 19:52:00+00:00,14,3,4,42.0,49.0,48.0,6.0,-1.0,,,28.9,11.0,-0.5000000000000004,0.8660254037844384,1,73.0,75.5,75.5,25.0,27.5,51.0,1
KATL,Atlanta,America/New_York,2022-01-04,2022-01-03,2022-01-03 19:52:00+00:00,14,3,4,42.0,49.0,49.0,7.0,0.0,,,28.9,11.0,-0.5000000000000004,0.8660254037844384,1,73.0,75.5,75.5,24.0,26.5,51.0,1
KATL,Atlanta,America/New_York,2022-01-04,2022-01-03,2022-01-03 19:52:00+00:00,14,3,4,42.0,49.0,50.0,8.0,1.0,,,28.9,11.0,-0.5000000000000004,0.8660254037844384,1,73.0,75.5,75.5,23.0,25.5,51.0,1
