bucket,rows,avg_probability,event_rate,abs_calibration_error
"(-0.001, 0.1]",55959,0.03410746668169742,0.05580871709644561,0.021701250414748192
"(0.1, 0.2]",25420,0.143573434349765,0.15948072383949646,0.01590728948973147
"(0.2, 0.3]",9874,0.23501628488629167,0.21764229289041928,0.01737399199587239
"(0.3, 0.4]",4011,0.3560075746121272,0.2854649713288457,0.07054260328328149
"(0.4, 0.5]",1550,0.4174646584090745,0.2787096774193548,0.13875498098971967
"(0.5, 0.6]",374,0.5496554238592226,0.0,0.5496554238592226
"(0.6, 0.7]",283,0.6496138969117583,0.0,0.6496138969117583
"(0.7, 0.8]",228,0.7504147165585088,0.0,0.7504147165585088
"(0.8, 0.9]",185,0.8494538793944675,0.0,0.8494538793944675
"(0.9, 1.0]",243,0.9527604407597666,0.0,0.9527604407597666
