bucket,rows,avg_probability,event_rate,abs_calibration_error
"(-0.001, 0.1]",62197,0.029830491090030425,0.057993150795054425,0.028162659705024
"(0.1, 0.2]",20405,0.14274369467781944,0.147561872090174,0.004818177412354546
"(0.2, 0.3]",7830,0.2407857546988816,0.1872286079182631,0.053557146780618514
"(0.3, 0.4]",2440,0.34240255604548064,0.1778688524590164,0.16453370358646424
"(0.4, 0.5]",1467,0.44787636603703046,0.20313565098841171,0.24474071504861875
"(0.5, 0.6]",1073,0.5473771106556172,0.2833178005591799,0.26405931009643735
"(0.6, 0.7]",785,0.6482817048386627,0.40382165605095544,0.24446004878770722
"(0.7, 0.8]",638,0.7489734625117137,0.5266457680250783,0.22232769448663536
"(0.8, 0.9]",515,0.8485212600370258,0.7320388349514563,0.1164824250855695
"(0.9, 1.0]",777,0.960139298223377,0.9691119691119691,0.008972670888592105
