bucket,rows,avg_probability,event_rate,abs_calibration_error
"(-0.001, 0.1]",45748,0.014601014753939141,0.008612398356212293,0.005988616397726848
"(0.1, 0.2]",42135,0.14490322824726343,0.15101459594161623,0.006111367694352804
"(0.2, 0.3]",5513,0.23169371246790463,0.21512787955740975,0.016565832910494876
"(0.3, 0.4]",854,0.34631263288148884,0.2693208430913349,0.07699178979015392
"(0.4, 0.5]",772,0.4518387233972997,0.37694300518134716,0.07489571821595253
"(0.5, 0.6]",857,0.5476970643331078,0.5647607934655776,0.017063729132469785
"(0.6, 0.7]",692,0.6487325033214721,0.7182080924855492,0.06947558916407703
"(0.7, 0.8]",629,0.7492506356557883,0.8696343402225755,0.12038370456678715
"(0.8, 0.9]",559,0.849838947824875,0.9713774597495528,0.1215385119246778
"(0.9, 1.0]",368,0.9320636874069423,1.0,0.06793631259305766
