bucket,rows,avg_probability,event_rate,abs_calibration_error
"(-0.001, 0.1]",55730,0.03483809102897165,0.05847837789341468,0.023640286864443028
"(0.1, 0.2]",25369,0.14165484997728534,0.15924947770901493,0.017594627731729595
"(0.2, 0.3]",9942,0.2329849322178502,0.20649768658217663,0.026487245635673562
"(0.3, 0.4]",5245,0.35357737691840546,0.29571020019065775,0.057867176727747716
"(0.4, 0.5]",494,0.4485573263240218,0.0,0.4485573263240218
"(0.5, 0.6]",359,0.5481531452301494,0.0,0.5481531452301494
"(0.6, 0.7]",302,0.6501253199446018,0.0,0.6501253199446018
"(0.7, 0.8]",249,0.7478776361605529,0.0,0.7478776361605529
"(0.8, 0.9]",205,0.8497260324561677,0.0,0.8497260324561677
"(0.9, 1.0]",232,0.9562683052254447,0.0,0.9562683052254447
