market_id,station,trained_station,bucket,current_temp,today_high_so_far,prior_day_high,prior_7day_high_mean,yes_bid,yes_ask,no_bid,no_ask,fair_yes,fair_no,edge_yes,edge_no,best_side,best_edge,latest_obs_time,question
2156842,KDAL,False,<=75F,89.0,89.0,81.0,75.28571428571429,0.968,0.97,0.03,0.032,0.33527224590652793,0.6647277540934721,-0.634727754093472,0.632727754093472,BUY_NO,0.632727754093472,2026-05-05T20:53:00+00:00,Will the highest temperature in Dallas be 75°F or below on May 6?
2156841,KLGA,True,>=74F,73.0,76.0,71.0,62.857142857142854,0.01,0.02,0.98,0.99,0.5264103028863062,0.4735896971136938,0.5064103028863062,-0.5164103028863062,BUY_YES,0.5064103028863062,2026-05-05T20:51:00+00:00,Will the highest temperature in New York City be 74°F or higher on May 6?
2157118,KBKF,False,>=52F,41.0,48.2,72.5,63.128571428571426,0.001,0.003,0.997,0.999,0.5093077021124403,0.49069229788755975,0.5063077021124402,-0.5083077021124403,BUY_YES,0.5063077021124402,2026-05-05T20:58:00+00:00,Will the highest temperature in Denver be 52°F or higher on May 6?
2157146,KSFO,False,64-65F,63.0,63.0,63.0,63.857142857142854,0.46,0.47,0.53,0.54,0.008818755527375544,0.9911812444726245,-0.46118124447262443,0.4511812444726244,BUY_NO,0.4511812444726244,2026-05-05T20:56:00+00:00,Will the highest temperature in San Francisco be between 64-65°F on May 6?
2157136,KLAX,False,68-69F,64.0,65.0,67.0,67.57142857142857,0.43,0.46,0.54,0.57,0.0,1.0,-0.46,0.43000000000000005,BUY_NO,0.43000000000000005,2026-05-05T20:53:00+00:00,Will the highest temperature in Los Angeles be between 68-69°F on May 6?
2157140,KLAX,False,>=76F,64.0,65.0,67.0,67.57142857142857,0.011,0.012,0.988,0.989,0.42637992923039786,0.5736200707696022,0.41437992923039785,-0.4153799292303978,BUY_YES,0.41437992923039785,2026-05-05T20:53:00+00:00,Will the highest temperature in Los Angeles be 76°F or higher on May 6?
2157151,KSFO,False,>=74F,63.0,63.0,63.0,63.857142857142854,0.001,0.003,0.997,0.999,0.4128652055361421,0.5871347944638579,0.4098652055361421,-0.41186520553614214,BUY_YES,0.4098652055361421,2026-05-05T20:56:00+00:00,Will the highest temperature in San Francisco be 74°F or higher on May 6?
2156885,KORD,True,>=66F,56.0,61.0,79.0,61.0,0.002,0.005,0.995,0.998,0.3830638080790841,0.616936191920916,0.3780638080790841,-0.381063808079084,BUY_YES,0.3780638080790841,2026-05-05T20:51:00+00:00,Will the highest temperature in Chicago be 66°F or higher on May 6?
2157145,KSFO,False,62-63F,63.0,63.0,63.0,63.857142857142854,0.4,0.44,0.56,0.6,0.030092004478967538,0.9699079955210325,-0.40990799552103246,0.3699079955210325,BUY_NO,0.3699079955210325,2026-05-05T20:56:00+00:00,Will the highest temperature in San Francisco be between 62-63°F on May 6?
2156838,KLGA,True,68-69F,73.0,76.0,71.0,62.857142857142854,0.35,0.36,0.64,0.65,0.007362473400588154,0.9926375265994118,-0.35263752659941183,0.3426375265994118,BUY_NO,0.3426375265994118,2026-05-05T20:51:00+00:00,Will the highest temperature in New York City be between 68-69°F on May 6?
2156880,KORD,True,56-57F,56.0,61.0,79.0,61.0,0.36,0.38,0.62,0.64,0.026995561291867254,0.9730044387081327,-0.35300443870813275,0.3330044387081327,BUY_NO,0.3330044387081327,2026-05-05T20:51:00+00:00,Will the highest temperature in Chicago be between 56-57°F on May 6?
2156881,KORD,True,58-59F,56.0,61.0,79.0,61.0,0.35,0.36,0.64,0.65,0.017483996871352436,0.9825160031286475,-0.34251600312864755,0.3325160031286475,BUY_NO,0.3325160031286475,2026-05-05T20:51:00+00:00,Will the highest temperature in Chicago be between 58-59°F on May 6?
2156837,KLGA,True,66-67F,73.0,76.0,71.0,62.857142857142854,0.34,0.36,0.64,0.66,0.025773767090654598,0.9742262329093454,-0.3342262329093454,0.31422623290934537,BUY_NO,0.31422623290934537,2026-05-05T20:51:00+00:00,Will the highest temperature in New York City be between 66-67°F on May 6?
2156831,KLGA,True,<=55F,73.0,76.0,71.0,62.857142857142854,0.001,0.003,0.997,0.999,0.3039309310121864,0.6960690689878136,0.3009309310121864,-0.3029309310121864,BUY_YES,0.3009309310121864,2026-05-05T20:51:00+00:00,Will the highest temperature in New York City be 55°F or below on May 6?
2157135,KLAX,False,66-67F,64.0,65.0,67.0,67.57142857142857,0.3,0.33,0.67,0.7,0.01695326607334169,0.9830467339266583,-0.3130467339266583,0.28304673392665836,BUY_NO,0.28304673392665836,2026-05-05T20:53:00+00:00,Will the highest temperature in Los Angeles be between 66-67°F on May 6?
2157141,KSFO,False,<=55F,63.0,63.0,63.0,63.857142857142854,0.001,0.004,0.996,0.999,0.2757153843287329,0.7242846156712671,0.2717153843287329,-0.2747153843287329,BUY_YES,0.2717153843287329,2026-05-05T20:56:00+00:00,Will the highest temperature in San Francisco be 55°F or below on May 6?
2157110,KBKF,False,36-37F,41.0,48.2,72.5,63.128571428571426,0.27,0.29,0.71,0.73,0.0,1.0,-0.29,0.27,BUY_NO,0.27,2026-05-05T20:58:00+00:00,Will the highest temperature in Denver be between 36-37°F on May 6?
2156868,KMIA,False,86-87F,84.0,88.0,81.0,85.57142857142857,0.33,0.37,0.63,0.67,0.06726164920627964,0.9327383507937204,-0.30273835079372036,0.2627383507937203,BUY_NO,0.2627383507937203,2026-05-05T20:53:00+00:00,Will the highest temperature in Miami be between 86-87°F on May 6?
2157111,KBKF,False,38-39F,41.0,48.2,72.5,63.128571428571426,0.33,0.37,0.63,0.67,0.06802398989898994,0.93197601010101,-0.30197601010101005,0.26197601010101,BUY_NO,0.26197601010101,2026-05-05T20:58:00+00:00,Will the highest temperature in Denver be between 38-39°F on May 6?
2156869,KMIA,False,88-89F,84.0,88.0,81.0,85.57142857142857,0.38,0.42,0.58,0.62,0.13032697846826508,0.869673021531735,-0.2896730215317349,0.24967302153173498,BUY_NO,0.24967302153173498,2026-05-05T20:53:00+00:00,Will the highest temperature in Miami be between 88-89°F on May 6?
2156854,KATL,True,80-81F,80.0,80.0,77.0,72.71428571428571,0.32,0.34,0.66,0.68,0.07652148001056491,0.9234785199894351,-0.2634785199894351,0.24347851998943504,BUY_NO,0.24347851998943504,2026-05-05T20:52:00+00:00,Will the highest temperature in Atlanta be between 80-81°F on May 6?
2157137,KLAX,False,70-71F,64.0,65.0,67.0,67.57142857142857,0.19,0.22,0.78,0.81,0.03594299025836045,0.9640570097416395,-0.18405700974163955,0.1540570097416395,BUY_NO,0.1540570097416395,2026-05-05T20:53:00+00:00,Will the highest temperature in Los Angeles be between 70-71°F on May 6?
2156857,KATL,True,86-87F,80.0,80.0,77.0,72.71428571428571,0.006,0.011,0.989,0.994,0.14358742136423538,0.8564125786357646,0.13258742136423537,-0.1375874213642354,BUY_YES,0.13258742136423537,2026-05-05T20:52:00+00:00,Will the highest temperature in Atlanta be between 86-87°F on May 6?
2156836,KLGA,True,64-65F,73.0,76.0,71.0,62.857142857142854,0.13,0.16,0.84,0.87,0.0,1.0,-0.16,0.13,BUY_NO,0.13,2026-05-05T20:51:00+00:00,Will the highest temperature in New York City be between 64-65°F on May 6?
2156853,KATL,True,<=79F,80.0,80.0,77.0,72.71428571428571,0.47,0.49,0.51,0.53,0.35743753528494715,0.6425624647150529,-0.13256246471505284,0.11256246471505282,BUY_NO,0.11256246471505282,2026-05-05T20:52:00+00:00,Will the highest temperature in Atlanta be 79°F or below on May 6?
2156839,KLGA,True,70-71F,73.0,76.0,71.0,62.857142857142854,0.13,0.14,0.86,0.87,0.03182031009379427,0.9681796899062057,-0.10817968990620574,0.09817968990620574,BUY_NO,0.09817968990620574,2026-05-05T20:51:00+00:00,Will the highest temperature in New York City be between 70-71°F on May 6?
2156856,KATL,True,84-85F,80.0,80.0,77.0,72.71428571428571,0.031,0.057,0.943,0.969,0.154170219234949,0.845829780765051,0.097170219234949,-0.12317021923494897,BUY_YES,0.097170219234949,2026-05-05T20:52:00+00:00,Will the highest temperature in Atlanta be between 84-85°F on May 6?
2156879,KORD,True,54-55F,56.0,61.0,79.0,61.0,0.15,0.16,0.84,0.85,0.05287487738632313,0.9471251226136769,-0.10712512261367688,0.0971251226136769,BUY_NO,0.0971251226136769,2026-05-05T20:51:00+00:00,Will the highest temperature in Chicago be between 54-55°F on May 6?
2157116,KBKF,False,48-49F,41.0,48.2,72.5,63.128571428571426,0.002,0.005,0.995,0.998,0.07841642057072684,0.9215835794292732,0.07341642057072684,-0.07641642057072684,BUY_YES,0.07341642057072684,2026-05-05T20:58:00+00:00,Will the highest temperature in Denver be between 48-49°F on May 6?
2156871,KMIA,False,92-93F,84.0,88.0,81.0,85.57142857142857,0.014,0.021,0.979,0.986,0.09150021422671083,0.9084997857732892,0.07050021422671082,-0.07750021422671083,BUY_YES,0.07050021422671082,2026-05-05T20:53:00+00:00,Will the highest temperature in Miami be between 92-93°F on May 6?
2156882,KORD,True,60-61F,56.0,61.0,79.0,61.0,0.07,0.088,0.912,0.93,0.001957614942528718,0.9980423850574713,-0.08604238505747128,0.06804238505747129,BUY_NO,0.06804238505747129,2026-05-05T20:51:00+00:00,Will the highest temperature in Chicago be between 60-61°F on May 6?
2157143,KSFO,False,58-59F,63.0,63.0,63.0,63.857142857142854,0.004,0.008,0.992,0.996,0.06972559029509207,0.9302744097049079,0.061725590295092066,-0.06572559029509206,BUY_YES,0.061725590295092066,2026-05-05T20:56:00+00:00,Will the highest temperature in San Francisco be between 58-59°F on May 6?
2157133,KLAX,False,62-63F,64.0,65.0,67.0,67.57142857142857,0.01,0.011,0.989,0.99,0.07263661510756914,0.9273633848924309,0.06163661510756914,-0.06263661510756913,BUY_YES,0.06163661510756914,2026-05-05T20:53:00+00:00,Will the highest temperature in Los Angeles be between 62-63°F on May 6?
2157149,KSFO,False,70-71F,63.0,63.0,63.0,63.857142857142854,0.004,0.009,0.991,0.996,0.06511526899179199,0.934884731008208,0.056115268991791985,-0.06111526899179198,BUY_YES,0.056115268991791985,2026-05-05T20:56:00+00:00,Will the highest temperature in San Francisco be between 70-71°F on May 6?
2156858,KATL,True,88-89F,80.0,80.0,77.0,72.71428571428571,0.004,0.006,0.994,0.996,0.05800651122763954,0.9419934887723604,0.052006511227639544,-0.05400651122763955,BUY_YES,0.052006511227639544,2026-05-05T20:52:00+00:00,Will the highest temperature in Atlanta be between 88-89°F on May 6?
2157147,KSFO,False,66-67F,63.0,63.0,63.0,63.857142857142854,0.07,0.09,0.91,0.93,0.01847068125515694,0.9815293187448431,-0.07152931874484306,0.05152931874484301,BUY_NO,0.05152931874484301,2026-05-05T20:56:00+00:00,Will the highest temperature in San Francisco be between 66-67°F on May 6?
2156833,KLGA,True,58-59F,73.0,76.0,71.0,62.857142857142854,0.001,0.005,0.995,0.999,0.052471040100428246,0.9475289598995718,0.04747104010042825,-0.051471040100428245,BUY_YES,0.04747104010042825,2026-05-05T20:51:00+00:00,Will the highest temperature in New York City be between 58-59°F on May 6?
2156883,KORD,True,62-63F,56.0,61.0,79.0,61.0,0.012,0.014,0.986,0.988,0.05971839087216757,0.9402816091278324,0.04571839087216757,-0.04771839087216756,BUY_YES,0.04571839087216757,2026-05-05T20:51:00+00:00,Will the highest temperature in Chicago be between 62-63°F on May 6?
2156876,KORD,True,48-49F,56.0,61.0,79.0,61.0,0.005,0.009,0.991,0.995,0.054236867230524455,0.9457631327694755,0.045236867230524454,-0.04923686723052445,BUY_YES,0.045236867230524454,2026-05-05T20:51:00+00:00,Will the highest temperature in Chicago be between 48-49°F on May 6?
2157109,KBKF,False,34-35F,41.0,48.2,72.5,63.128571428571426,0.04,0.1,0.9,0.96,0.0007681641563186403,0.9992318358436814,-0.09923183584368137,0.039231835843681395,BUY_NO,0.039231835843681395,2026-05-05T20:58:00+00:00,Will the highest temperature in Denver be between 34-35°F on May 6?
2157148,KSFO,False,68-69F,63.0,63.0,63.0,63.857142857142854,0.015,0.023,0.977,0.985,0.06077107339402138,0.9392289266059786,0.03777107339402138,-0.04577107339402142,BUY_YES,0.03777107339402138,2026-05-05T20:56:00+00:00,Will the highest temperature in San Francisco be between 68-69°F on May 6?
2157115,KBKF,False,46-47F,41.0,48.2,72.5,63.128571428571426,0.003,0.009,0.991,0.997,0.04418333622151438,0.9558166637784856,0.03518333622151438,-0.04118333622151438,BUY_YES,0.03518333622151438,2026-05-05T20:58:00+00:00,Will the highest temperature in Denver be between 46-47°F on May 6?
2156847,KDAL,False,84-85F,89.0,89.0,81.0,75.28571428571429,0.001,0.003,0.997,0.999,0.03771858817024176,0.9622814118297582,0.03471858817024176,-0.03671858817024176,BUY_YES,0.03471858817024176,2026-05-05T20:53:00+00:00,Will the highest temperature in Dallas be between 84-85°F on May 6?
2157114,KBKF,False,44-45F,41.0,48.2,72.5,63.128571428571426,0.01,0.014,0.986,0.99,0.047598991903821,0.952401008096179,0.033598991903821,-0.03759899190382099,BUY_YES,0.033598991903821,2026-05-05T20:58:00+00:00,Will the highest temperature in Denver be between 44-45°F on May 6?
2157134,KLAX,False,64-65F,64.0,65.0,67.0,67.57142857142857,0.024,0.025,0.975,0.976,0.05853617118665255,0.9414638288133474,0.03353617118665255,-0.03453617118665253,BUY_YES,0.03353617118665255,2026-05-05T20:53:00+00:00,Will the highest temperature in Los Angeles be between 64-65°F on May 6?
2157131,KLAX,False,58-59F,64.0,65.0,67.0,67.57142857142857,0.001,0.003,0.997,0.999,0.035978616500081495,0.9640213834999185,0.03297861650008149,-0.034978616500081494,BUY_YES,0.03297861650008149,2026-05-05T20:53:00+00:00,Will the highest temperature in Los Angeles be between 58-59°F on May 6?
2156878,KORD,True,52-53F,56.0,61.0,79.0,61.0,0.03,0.033,0.967,0.97,0.06350530929463016,0.9364946907053698,0.030505309294630162,-0.03350530929463014,BUY_YES,0.030505309294630162,2026-05-05T20:51:00+00:00,Will the highest temperature in Chicago be between 52-53°F on May 6?
