bucket,rows,avg_probability,event_rate,calibration_error,abs_calibration_error
"(-0.001, 0.1]",55287,0.047667140007127844,0.022283719500063307,0.025383420507064536,0.025383420507064536
"(0.1, 0.2]",30290,0.14303118326458056,0.08884120171673819,0.05418998154784237,0.05418998154784237
"(0.2, 0.3]",17339,0.24579553427906922,0.2107387969317723,0.03505673734729692,0.03505673734729692
"(0.3, 0.4]",10787,0.3465457648040831,0.3453230740706406,0.0012226907334424997,0.0012226907334424997
"(0.4, 0.5]",7860,0.44584513120260305,0.5201017811704834,-0.0742566499678804,0.0742566499678804
"(0.5, 0.6]",7519,0.5511226274604435,0.7273573613512435,-0.17623473389080002,0.17623473389080002
"(0.6, 0.7]",3603,0.6463115843116088,0.8442964196502915,-0.1979848353386826,0.1979848353386826
"(0.7, 0.8]",6100,0.7508803505035668,0.9314754098360656,-0.18059505933249875,0.18059505933249875
"(0.8, 0.9]",3613,0.8438976037479363,0.991696650982563,-0.14779904723462667,0.14779904723462667
"(0.9, 1.0]",120186,0.9926159259690209,1.0,-0.007384074030979071,0.007384074030979071
