bucket,rows,avg_probability,event_rate,calibration_error,abs_calibration_error
"(-0.001, 0.1]",12601,0.046093684260787526,0.025315451154670265,0.02077823310611726,0.02077823310611726
"(0.1, 0.2]",10196,0.1491901442053104,0.1090623774029031,0.0401277668024073,0.0401277668024073
"(0.2, 0.3]",9071,0.24757772310672901,0.22367985889097122,0.02389786421575779,0.02389786421575779
"(0.3, 0.4]",6805,0.34926579825223447,0.3106539309331374,0.03861186731909705,0.03861186731909705
"(0.4, 0.5]",6111,0.44880682201851396,0.40631647848142693,0.04249034353708703,0.04249034353708703
"(0.5, 0.6]",5679,0.5490340778086392,0.5110054587075189,0.03802861910112032,0.03802861910112032
"(0.6, 0.7]",5151,0.6495736650892927,0.6295864880605707,0.019987177028721992,0.019987177028721992
"(0.7, 0.8]",5107,0.7503772539564347,0.7454474251028,0.004929828853634688,0.004929828853634688
"(0.8, 0.9]",5178,0.8493513545091493,0.8516801853997682,-0.0023288308906188604,0.0023288308906188604
"(0.9, 1.0]",32381,0.9917889924921995,0.9923411877335474,-0.0005521952413478637,0.0005521952413478637
