bucket,rows,avg_probability,event_rate,abs_calibration_error
"(-0.001, 0.1]",56716,0.03469490127274063,0.06299809577544256,0.028303194502701932
"(0.1, 0.2]",25205,0.14133094542641933,0.1511208093632216,0.009789863936802257
"(0.2, 0.3]",9198,0.24213772989490132,0.2126549249836921,0.02948280491120922
"(0.3, 0.4]",3779,0.34256050328566967,0.27044191585075417,0.0721185874349155
"(0.4, 0.5]",1403,0.44436129413486114,0.2637205987170349,0.18064069541782624
"(0.5, 0.6]",756,0.5440169626142614,0.17989417989417988,0.3641227827200815
"(0.6, 0.7]",430,0.6445359600962483,0.05813953488372093,0.5863964252125273
"(0.7, 0.8]",264,0.7472530554232937,0.045454545454545456,0.7017985099687483
"(0.8, 0.9]",171,0.8462082765015237,0.0,0.8462082765015237
"(0.9, 1.0]",205,0.9631020209268639,0.0,0.9631020209268639
